Sensor Values 	 red: 139	 green: 76	 blue: 84
Raw Sensor Values 	 red: 515	 green: 335	 blue: 323
Mapped Sensor Values 	 red: 128	 green: 83	 blue: 80
Raw Sensor Values 	 red: 525	 green: 306	 blue: 358
Mapped Sensor Values 	 red: 131	 green: 76	 blue: 89
Raw Sensor Values 	 red: 557	 green: 309	 blue: 328
Mapped Sensor Values 	 red: 139	 green: 77	 blue: 82
Raw Sensor Values 	 red: 494	 green: 335	 blue: 330
Mapped Sensor Values 	 red: 123	 green: 83	 blue: 82
Raw Sensor Values 	 red: 544	 green: 296	 blue: 362
Mapped Sensor Values 	 red: 136	 green: 74	 blue: 90
Raw Sensor Values 	 red: 550	 green: 323	 blue: 321
Mapped Sensor Values 	 red: 137	 green: 80	 blue: 80
Raw Sensor Values 	 red: 482	 green: 327	 blue: 338
Mapped Sensor Values 	 red: 120	 green: 81	 blue: 84
Raw Sensor Values 	 red: 561	 green: 285	 blue: 351
Mapped Sensor Values 	 red: 140	 green: 71	 blue: 87
Raw Sensor Values 	 red: 516	 green: 331	 blue: 303
Mapped Sensor Values 	 red: 129	 green: 82	 blue: 75
Raw Sensor Values 	 red: 505	 green: 310	 blue: 354
Mapped Sensor Values 	 red: 126	 green: 77	 blue: 88
Raw Sensor Values 	 red: 555	 green: 301	 blue: 339
Mapped Sensor Values 	 red: 138	 green: 75	 blue: 84
Raw Sensor Values 	 red: 515	 green: 336	 blue: 321
Mapped Sensor Values 	 red: 128	 green: 84	 blue: 80
Raw Sensor Values 	 red: 522	 green: 309	 blue: 361
Mapped Sensor Values 	 red: 130	 green: 77	 blue: 90
Raw Sensor Values 	 red: 560	 green: 310	 blue: 334
Mapped Sensor Values 	 red: 140	 green: 77	 blue: 83
Raw Sensor Values 	 red: 502	 green: 340	 blue: 333
Mapped Sensor Values 	 red: 125	 green: 85	 blue: 83
Raw Sensor Values 	 red: 538	 green: 302	 blue: 366
Mapped Sensor Values 	 red: 134	 green: 75	 blue: 91
Raw Sensor Values 	 red: 460	 green: 264	 blue: 248
Mapped Sensor Values 	 red: 115	 green: 66	 blue: 62
Raw Sensor Values 	 red: 270	 green: 265	 blue: 255
Mapped Sensor Values 	 red: 67	 green: 66	 blue: 63
Raw Sensor Values 	 red: 287	 green: 239	 blue: 277
Mapped Sensor Values 	 red: 71	 green: 59	 blue: 69
Raw Sensor Values 	 red: 314	 green: 241	 blue: 262
Mapped Sensor Values 	 red: 78	 green: 60	 blue: 65
Raw Sensor Values 	 red: 295	 green: 263	 blue: 241
Mapped Sensor Values 	 red: 73	 green: 65	 blue: 60
Raw Sensor Values 	 red: 271	 green: 269	 blue: 251
Mapped Sensor Values 	 red: 67	 green: 67	 blue: 62
Raw Sensor Values 	 red: 283	 green: 242	 blue: 275
Mapped Sensor Values 	 red: 70	 green: 60	 blue: 68
Raw Sensor Values 	 red: 311	 green: 231	 blue: 268
Mapped Sensor Values 	 red: 77	 green: 57	 blue: 67
Raw Sensor Values 	 red: 300	 green: 250	 blue: 240
Mapped Sensor Values 	 red: 75	 green: 62	 blue: 60
Raw Sensor Values 	 red: 271	 green: 267	 blue: 242
Mapped Sensor Values 	 red: 67	 green: 66	 blue: 60
Raw Sensor Values 	 red: 278	 green: 245	 blue: 269
Mapped Sensor Values 	 red: 69	 green: 61	 blue: 67
Raw Sensor Values 	 red: 311	 green: 228	 blue: 273
Mapped Sensor Values 	 red: 77	 green: 57	 blue: 68
Raw Sensor Values 	 red: 314	 green: 244	 blue: 248
Mapped Sensor Values 	 red: 78	 green: 61	 blue: 62
Raw Sensor Values 	 red: 286	 green: 266	 blue: 243
Mapped Sensor Values 	 red: 71	 green: 66	 blue: 60
Raw Sensor Values 	 red: 282	 green: 251	 blue: 268
Mapped Sensor Values 	 red: 70	 green: 62	 blue: 67
Raw Sensor Values 	 red: 312	 green: 230	 blue: 283
Mapped Sensor Values 	 red: 78	 green: 57	 blue: 70
Raw Sensor Values 	 red: 326	 green: 239	 blue: 260
Mapped Sensor Values 	 red: 81	 green: 59	 blue: 65
Raw Sensor Values 	 red: 295	 green: 262	 blue: 246
Mapped Sensor Values 	 red: 73	 green: 65	 blue: 61
Raw Sensor Values 	 red: 278	 green: 257	 blue: 263
Mapped Sensor Values 	 red: 69	 green: 64	 blue: 65
Raw Sensor Values 	 red: 298	 green: 233	 blue: 282
Mapped Sensor Values 	 red: 74	 green: 58	 blue: 70
Raw Sensor Values 	 red: 319	 green: 234	 blue: 260
Mapped Sensor Values 	 red: 79	 green: 58	 blue: 65
Raw Sensor Values 	 red: 292	 green: 256	 blue: 240
Mapped Sensor Values 	 red: 73	 green: 64	 blue: 60
Raw Sensor Values 	 red: 272	 green: 259	 blue: 254
Mapped Sensor Values 	 red: 68	 green: 64	 blue: 63
Raw Sensor Values 	 red: 11	 green: 6	 blue: 8
Mapped Sensor Values 	 red: 2	 green: 1	 blue: 2
Raw Sensor Values 	 red: 4	 green: 0	 blue: 0
Mapped Sensor Values 	 red: 1	 green: 0	 blue: 0
Raw Sensor Values 	 red: 0	 green: 0	 blue: 0
Mapped Sensor Values 	 red: 0	 green: 0	 blue: 0
Raw Sensor Values 	 red: 0	 green: 0	 blue: 0
Mapped Sensor Values 	 red: 0	 green: 0	 blue: 0
