potVal: 332, angle: 58
potVal: 335, angle: 58
potVal: 320, angle: 55
potVal: 308, angle: 53
potVal: 275, angle: 48
potVal: 254, angle: 44
potVal: 317, angle: 55
potVal: 230, angle: 40
potVal: 314, angle: 54
potVal: 253, angle: 44
potVal: 313, angle: 54
potVal: 241, angle: 42
potVal: 320, angle: 55
potVal: 252, angle: 44
potVal: 312, angle: 54
potVal: 243, angle: 42
potVal: 308, angle: 53
potVal: 250, angle: 43
potVal: 315, angle: 55
potVal: 239, angle: 41
potVal: 304, angle: 53
potVal: 249, angle: 43
potVal: 307, angle: 53
potVal: 248, angle: 43
potVal: 307, angle: 53
potVal: 250, angle: 43
potVal: 313, angle: 54
potVal: 244, angle: 42
potVal: 304, angle: 53
potVal: 251, angle: 43
potVal: 304, angle: 53
potVal: 235, angle: 41
potVal: 302, angle: 52
potVal: 246, angle: 43
potVal: 303, angle: 53
potVal: 238, angle: 41
potVal: 300, angle: 52
potVal: 243, angle: 42
potVal: 310, angle: 54
potVal: 232, angle: 40
potVal: 296, angle: 51
potVal: 242, angle: 42
potVal: 304, angle: 53
potVal: 233, angle: 40
potVal: 299, angle: 52
potVal: 240, angle: 41
potVal: 305, angle: 53
potVal: 237, angle: 41
potVal: 302, angle: 52
potVal: 240, angle: 41
potVal: 307, angle: 53
potVal: 236, angle: 41
potVal: 299, angle: 52
potVal: 242, angle: 42
potVal: 304, angle: 53
potVal: 240, angle: 41
potVal: 310, angle: 54
potVal: 252, angle: 44
potVal: 323, angle: 56
potVal: 252, angle: 44
potVal: 324, angle: 56
potVal: 270, angle: 47
potVal: 335, angle: 58
potVal: 264, angle: 46
potVal: 324, angle: 56
potVal: 277, angle: 48
potVal: 332, angle: 58
potVal: 264, angle: 46
potVal: 335, angle: 58
potVal: 277, angle: 48
potVal: 325, angle: 56
potVal: 275, angle: 48
potVal: 333, angle: 58
potVal: 277, angle: 48
potVal: 325, angle: 56
potVal: 277, angle: 48
potVal: 332, angle: 58
potVal: 278, angle: 48
potVal: 330, angle: 57
potVal: 276, angle: 48
potVal: 330, angle: 57
potVal: 278, angle: 48
potVal: 332, angle: 58
potVal: 265, angle: 46
potVal: 331, angle: 57
potVal: 277, angle: 48
potVal: 334, angle: 58
potVal: 271, angle: 47
potVal: 332, angle: 58
potVal: 272, angle: 47
potVal: 336, angle: 58
potVal: 265, angle: 46
potVal: 331, angle: 57
potVal: 265, angle: 46
potVal: 341, angle: 59
potVal: 255, angle: 44
potVal: 335, angle: 58
potVal: 260, angle: 45
potVal: 336, angle: 58
potVal: 248, angle: 43
potVal: 327, angle: 57
potVal: 256, angle: 44
potVal: 327, angle: 57
potVal: 239, angle: 41
potVal: 323, angle: 56
potVal: 253, angle: 44
potVal: 324, angle: 56
potVal: 240, angle: 41
potVal: 319, angle: 55
potVal: 241, angle: 42
potVal: 372, angle: 65
potVal: 377, angle: 65
potVal: 375, angle: 65
potVal: 375, angle: 65
potVal: 374, angle: 65
potVal: 374, angle: 65
potVal: 374, angle: 65
potVal: 374, angle: 65
potVal: 374, angle: 65
potVal: 374, angle: 65
potVal: 374, angle: 65
potVal: 374, angle: 65
potVal: 374, angle: 65
potVal: 374, angle: 65
potVal: 374, angle: 65
potVal: 374, angle: 65
potVal: 374, angle: 65
potVal: 374, angle: 65
potVal: 374, angle: 65
potVal: 374, angle: 65
potVal: 374, angle: 65
potVal: 375, angle: 65
potVal: 447, angle: 78
potVal: 368, angle: 64
potVal: 440, angle: 76
potVal: 374, angle: 65
potVal: 450, angle: 78
potVal: 374, angle: 65
potVal: 448, angle: 78
potVal: 378, angle: 66
potVal: 449, angle: 78
potVal: 375, angle: 65
potVal: 443, angle: 77
potVal: 372, angle: 65
potVal: 425, angle: 74
potVal: 353, angle: 61
potVal: 424, angle: 74
potVal: 357, angle: 62
potVal: 425, angle: 74
potVal: 351, angle: 61
potVal: 417, angle: 72
potVal: 347, angle: 60
potVal: 419, angle: 73
potVal: 350, angle: 61
potVal: 375, angle: 65
potVal: 378, angle: 66
potVal: 0, angle: 0
potVal: 0, angle: 0
potVal: 7, angle: 1
potVal: 112, angle: 19
potVal: 92, angle: 16
potVal: 77, angle: 13
potVal: 3, angle: 0
potVal: 6, angle: 1
potVal: 1, angle: 0
potVal: 4, angle: 0
potVal: 0, angle: 0
potVal: 6, angle: 1
potVal: 2, angle: 0
potVal: 0, angle: 0
potVal: 7, angle: 1
potVal: 0, angle: 0
potVal: 3, angle: 0
potVal: 7, angle: 1
potVal: 0, angle: 0
potVal: 3, angle: 0
potVal: 7, angle: 1
potVal: 0, angle: 0
potVal: 7, angle: 1
potVal: 0, angle: 0
potVal: 0, angle: 0
potVal: 9, angle: 1
potVal: 0, angle: 0
potVal: 1, angle: 0
potVal: 9, angle: 1
potVal: 0, angle: 0
potVal: 0, angle: 0
potVal: 11, angle: 1
potVal: 7, angle: 1
potVal: 7, angle: 1
potVal: 0, angle: 0
potVal: 0, angle: 0
potVal: 0, angle: 0
potVal: 9, angle: 1
potVal: 372, angle: 65
potVal: 373, angle: 65
potVal: 375, angle: 65
potVal: 0, angle: 0
potVal: 1, angle: 0
potVal: 0, angle: 0
potVal: 3, angle: 0
potVal: 0, angle: 0
potVal: 3, angle: 0
potVal: 0, angle: 0
potVal: 0, angle: 0
potVal: 2, angle: 0
potVal: 0, angle: 0
potVal: 7, angle: 1
potVal: 0, angle: 0
potVal: 1, angle: 0
potVal: 0, angle: 0
potVal: 11, angle: 1
potVal: 3, angle: 0
potVal: 0, angle: 0
potVal: 11, angle: 1
potVal: 7, angle: 1
potVal: 0, angle: 0
potVal: 6, angle: 1
potVal: 0, angle: 0
potVal: 0, angle: 0
potVal: 7, angle: 1
potVal: 0, angle: 0
potVal: 5, angle: 0
potVal: 0, angle: 0
potVal: 0, angle: 0
potVal: 3, angle: 0
potVal: 2, angle: 0
potVal: 3, angle: 0
potVal: 0, angle: 0
potVal: 7, angle: 1
potVal: 5, angle: 0
potVal: 0, angle: 0
potVal: 3, angle: 0
potVal: 0, angle: 0
potVal: 3, angle: 0
potVal: 0, angle: 0
potVal: 3, angle: 0
potVal: 2, angle: 0
potVal: 7, angle: 1
potVal: 0, angle: 0
potVal: 0, angle: 0
potVal: 7, angle: 1
potVal: 0, angle: 0
potVal: 3, angle: 0
potVal: 0, angle: 0
potVal: 0, angle: 0
potVal: 7, angle: 1
potVal: 0, angle: 0
potVal: 7, angle: 1
potVal: 0, angle: 0
potVal: 3, angle: 0
potVal: 3, angle: 0
potVal: 0, angle: 0
potVal: 2, angle: 0
potVal: 1, angle: 0
potVal: 0, angle: 0
potVal: 7, angle: 1
potVal: 0, angle: 0
potVal: 7, angle: 1
potVal: 0, angle: 0
potVal: 7, angle: 1
potVal: 0, angle: 0
potVal: 0, angle: 0
potVal: 3, angle: 0
potVal: 1, angle: 0
potVal: 8, angle: 1
potVal: 0, angle: 0
potVal: 7, angle: 1
potVal: 0, angle: 0
potVal: 0, angle: 0
potVal: 3, angle: 0
potVal: 0, angle: 0
potVal: 3, angle: 0
potVal: 0, angle: 0
potVal: 1, angle: 0
potVal: 0, angle: 0
potVal: 0, angle: 0
potVal: 349, angle: 61
potVal: 350, angle: 61
potVal: 348, angle: 60
potVal: 344, angle: 60
potVal: 347, angle: 60
potVal: 348, angle: 60
potVal: 346, angle: 60
potVal: 347, angle: 60
potVal: 1022, angle: 178
potVal: 1023, angle: 179
potVal: 1020, angle: 178
potVal: 1023, angle: 179
potVal: 1023, angle: 179
potVal: 1017, angle: 177
potVal: 1023, angle: 179
potVal: 1023, angle: 179
potVal: 1017, angle: 177
potVal: 346, angle: 60
potVal: 347, angle: 60
potVal: 347, angle: 60
potVal: 3, angle: 0
potVal: 294, angle: 51
potVal: 0, angle: 0
potVal: 3, angle: 0
potVal: 0, angle: 0
potVal: 353, angle: 61
potVal: 359, angle: 62
potVal: 396, angle: 69
potVal: 424, angle: 74
potVal: 433, angle: 75
potVal: 0, angle: 0
potVal: 4, angle: 0
potVal: 438, angle: 76
potVal: 441, angle: 77
potVal: 441, angle: 77
potVal: 447, angle: 78
potVal: 454, angle: 79
potVal: 459, angle: 80
potVal: 462, angle: 80
potVal: 464, angle: 81
potVal: 464, angle: 81
potVal: 465, angle: 81
potVal: 465, angle: 81
potVal: 465, angle: 81
potVal: 465, angle: 81
potVal: 0, angle: 0
potVal: 6, angle: 1
potVal: 0, angle: 0
potVal: 3, angle: 0
potVal: 4, angle: 0
potVal: 1, angle: 0
potVal: 3, angle: 0
potVal: 0, angle: 0
potVal: 6, angle: 1
potVal: 0, angle: 0
potVal: 1, angle: 0
potVal: 3, angle: 0
potVal: 0, angle: 0
potVal: 4, angle: 0
potVal: 0, angle: 0
potVal: 3, angle: 0
potVal: 0, angle: 0
potVal: 3, angle: 0
potVal: 2, angle: 0
potVal: 0, angle: 0
potVal: 2, angle: 0
potVal: 0, angle: 0
potVal: 7, angle: 1
potVal: 0, angle: 0
potVal: 3, angle: 0
potVal: 0, angle: 0
potVal: 0, angle: 0
potVal: 7, angle: 1
potVal: 0, angle: 0
potVal: 7, angle: 1
potVal: 0, angle: 0
potVal: 3, angle: 0
potVal: 0, angle: 0
potVal: 0, angle: 0
potVal: 7, angle: 1
potVal: 2, angle: 0
potVal: 0, angle: 0
potVal: 3, angle: 0
potVal: 7, angle: 1
potVal: 0, angle: 0
potVal: 3, angle: 0
potVal: 7, angle: 1
potVal: 0, angle: 0
potVal: 1, angle: 0
potVal: 3, angle: 0
potVal: 11, angle: 1
potVal: 3, angle: 0
potVal: 5, angle: 0
potVal: 0, angle: 0
potVal: 0, angle: 0
potVal: 3, angle: 0
potVal: 7, angle: 1
potVal: 0, angle: 0
potVal: 0, angle: 0
potVal: 7, angle: 1
potVal: 0, angle: 0
potVal: 0, angle: 0
potVal: 3, angle: 0
potVal: 2, angle: 0
potVal: 1, angle: 0
potVal: 7, angle: 1
potVal: 2, angle: 0
potVal: 0, angle: 0
potVal: 0, angle: 0
potVal: 7, angle: 1
potVal: 0, angle: 0
potVal: 6, angle: 1
potVal: 0, angle: 0
potVal: 0, angle: 0
potVal: 7, angle: 1
potVal: 0, angle: 0
potVal: 0, angle: 0
potVal: 3, angle: 0
potVal: 3, angle: 0
potVal: 7, angle: 1
potVal: 0, angle: 0
potVal: 0, angle: 0
potVal: 7, angle: 1
potVal: 0, angle: 0
potVal: 3, angle: 0
potVal: 2, angle: 0
potVal: 1, angle: 0
potVal: 3, angle: 0
potVal: 7, angle: 1
potVal: 0, angle: 0
potVal: 0, angle: 0
potVal: 1, angle: 0
potVal: 7, angle: 1
potVal: 0, angle: 0
potVal: 0, angle: 0
potVal: 3, angle: 0
potVal: 2, angle: 0
potVal: 0, angle: 0
potVal: 3, angle: 0
potVal: 3, angle: 0
potVal: 2, angle: 0
potVal: 0, angle: 0
potVal: 3, angle: 0
potVal: 7, angle: 1
potVal: 0, angle: 0
potVal: 0, angle: 0
potVal: 7, angle: 1
potVal: 0, angle: 0
potVal: 7, angle: 1
potVal: 0, angle: 0
potVal: 7, angle: 1
potVal: 0, angle: 0
potVal: 7, angle: 1
potVal: 0, angle: 0
potVal: 0, angle: 0
potVal: 0, angle: 0
potVal: 3, angle: 0
potVal: 2, angle: 0
potVal: 0, angle: 0
potVal: 0, angle: 0
potVal: 1, angle: 0
potVal: 7, angle: 1
potVal: 0, angle: 0
potVal: 6, angle: 1
potVal: 0, angle: 0
potVal: 0, angle: 0
potVal: 3, angle: 0
potVal: 0, angle: 0
potVal: 0, angle: 0
potVal: 1, angle: 0
potVal: 2, angle: 0
potVal: 3, angle: 0
potVal: 0, angle: 0
potVal: 7, angle: 1
potVal: 3, angle: 0
potVal: 0, angle: 0
potVal: 7, angle: 1
potVal: 1, angle: 0
potVal: 0, angle: 0
potVal: 1, angle: 0
potVal: 635, angle: 111
potVal: 635, angle: 111
potVal: 644, angle: 112
potVal: 747, angle: 130
potVal: 636, angle: 111
potVal: 1023, angle: 179
potVal: 637, angle: 111
potVal: 632, angle: 110
potVal: 633, angle: 110
potVal: 633, angle: 110
potVal: 633, angle: 110
potVal: 633, angle: 110
potVal: 633, angle: 110
potVal: 632, angle: 110
potVal: 633, angle: 110
potVal: 633, angle: 110
potVal: 633, angle: 110
potVal: 634, angle: 110
potVal: 634, angle: 110
potVal: 634, angle: 110
potVal: 634, angle: 110
potVal: 634, angle: 110
potVal: 634, angle: 110
potVal: 634, angle: 110
potVal: 634, angle: 110
potVal: 634, angle: 110
potVal: 634, angle: 110
potVal: 634, angle: 110
potVal: 633, angle: 110
